FBgn0039596	CG10000	CG10000	FBtr0085315	2597	Drosophila melanogaster
FBgn0039595	CG10001	AstA-R2	FBtr0085316	2273	Drosophila melanogaster
FBgn0039595	CG10001	AstA-R2	FBtr0308641	2077	Drosophila melanogaster
FBgn0039595	CG10001	AstA-R2	FBtr0336790	1994	Drosophila melanogaster
FBgn0000659	CG10002	fkh	FBtr0085321	3280	Drosophila melanogaster
FBgn0000659	CG10002	fkh	FBtr0300259	4030	Drosophila melanogaster
FBgn0000659	CG10002	fkh	FBtr0330333	4030	Drosophila melanogaster
FBgn0000659	CG10002	fkh	FBtr0345227	4289	Drosophila melanogaster
FBgn0000659	CG10002	fkh	FBtr0346765	4030	Drosophila melanogaster
FBgn0037972	CG10005	CG10005	FBtr0082507	1055	Drosophila melanogaster
FBgn0037972	CG10005	CG10005	FBtr0335438	880	Drosophila melanogaster
FBgn0036461	CG10006	Zip71B	FBtr0113171	2225	Drosophila melanogaster
FBgn0036461	CG10006	Zip71B	FBtr0347146	2391	Drosophila melanogaster
FBgn0260744	CG10007	Tango9	FBtr0082508	1590	Drosophila melanogaster
FBgn0260744	CG10007	Tango9	FBtr0347147	3673	Drosophila melanogaster
FBgn0026400	CG10009	Noa36	FBtr0085320	1138	Drosophila melanogaster
FBgn0039590	CG10011	CG10011	FBtr0085319	8682	Drosophila melanogaster
FBgn0038012	CG10013	CG10013	FBtr0082567	1690	Drosophila melanogaster
FBgn0038000	CG10014	CG10014	FBtr0082559	1448	Drosophila melanogaster
FBgn0024244	CG10016	drm	FBtr0077530	2572	Drosophila melanogaster
FBgn0024244	CG10016	drm	FBtr0077531	2330	Drosophila melanogaster
FBgn0024244	CG10016	drm	FBtr0344768	1799	Drosophila melanogaster
FBgn0037338	CG10018	Snm1	FBtr0078688	2589	Drosophila melanogaster
FBgn0031568	CG10019	CG10019	FBtr0273188	6040	Drosophila melanogaster
FBgn0031568	CG10019	CG10019	FBtr0321291	5122	Drosophila melanogaster
FBgn0004893	CG10021	bowl	FBtr0077490	3513	Drosophila melanogaster
FBgn0004893	CG10021	bowl	FBtr0077491	3424	Drosophila melanogaster
FBgn0004893	CG10021	bowl	FBtr0077492	3630	Drosophila melanogaster
FBgn0004893	CG10021	bowl	FBtr0077493	3485	Drosophila melanogaster
FBgn0004893	CG10021	bowl	FBtr0307027	3507	Drosophila melanogaster
FBgn0004893	CG10021	bowl	FBtr0307028	3394	Drosophila melanogaster
FBgn0004893	CG10021	bowl	FBtr0307029	3435	Drosophila melanogaster
FBgn0020440	CG10023	Fak	FBtr0086542	4713	Drosophila melanogaster
FBgn0020440	CG10023	Fak	FBtr0086543	4499	Drosophila melanogaster
FBgn0020440	CG10023	Fak	FBtr0086544	4240	Drosophila melanogaster
FBgn0020440	CG10023	Fak	FBtr0114605	5613	Drosophila melanogaster
FBgn0020440	CG10023	Fak	FBtr0301882	4707	Drosophila melanogaster
FBgn0020440	CG10023	Fak	FBtr0301883	4142	Drosophila melanogaster
FBgn0032785	CG10026	CG10026	FBtr0081236	1585	Drosophila melanogaster
FBgn0032785	CG10026	CG10026	FBtr0081237	1533	Drosophila melanogaster
FBgn0032785	CG10026	CG10026	FBtr0081238	1207	Drosophila melanogaster
FBgn0032785	CG10026	CG10026	FBtr0332317	1143	Drosophila melanogaster
FBgn0037498	CG10029	CG10029	FBtr0081591	1380	Drosophila melanogaster
FBgn0037498	CG10029	CG10029	FBtr0339731	""	Drosophila melanogaster
FBgn0031563	CG10031	CG10031	FBtr0077544	577	Drosophila melanogaster
FBgn0000721	CG10033	for	FBtr0089304	4595	Drosophila melanogaster
FBgn0000721	CG10033	for	FBtr0089306	4338	Drosophila melanogaster
FBgn0000721	CG10033	for	FBtr0089307	3778	Drosophila melanogaster
FBgn0000721	CG10033	for	FBtr0089308	4218	Drosophila melanogaster
FBgn0000721	CG10033	for	FBtr0089309	3826	Drosophila melanogaster
FBgn0000721	CG10033	for	FBtr0089310	4316	Drosophila melanogaster
FBgn0000721	CG10033	for	FBtr0089312	4581	Drosophila melanogaster
FBgn0000721	CG10033	for	FBtr0100363	3886	Drosophila melanogaster
FBgn0000721	CG10033	for	FBtr0301399	3223	Drosophila melanogaster
FBgn0000721	CG10033	for	FBtr0446099	3436	Drosophila melanogaster
FBgn0000964	CG10034	tj	FBtr0301669	3492	Drosophila melanogaster
FBgn0000964	CG10034	tj	FBtr0329891	3492	Drosophila melanogaster
FBgn0038028	CG10035	CG10035	FBtr0082606	972	Drosophila melanogaster
FBgn0038028	CG10035	CG10035	FBtr0344387	1754	Drosophila melanogaster
FBgn0015524	CG10036	otp	FBtr0110772	2347	Drosophila melanogaster
FBgn0015524	CG10036	otp	FBtr0290289	2961	Drosophila melanogaster
FBgn0015524	CG10036	otp	FBtr0342795	2473	Drosophila melanogaster
FBgn0015524	CG10036	otp	FBtr0342796	2326	Drosophila melanogaster
FBgn0015524	CG10036	otp	FBtr0342797	2452	Drosophila melanogaster
FBgn0015524	CG10036	otp	FBtr0342798	2835	Drosophila melanogaster
FBgn0015524	CG10036	otp	FBtr0342799	2856	Drosophila melanogaster
FBgn0015524	CG10036	otp	FBtr0342800	2982	Drosophila melanogaster
FBgn0086680	CG10037	vvl	FBtr0076944	4380	Drosophila melanogaster
FBgn0086680	CG10037	vvl	FBtr0330059	4380	Drosophila melanogaster
FBgn0086680	CG10037	vvl	FBtr0345911	4784	Drosophila melanogaster
FBgn0086680	CG10037	vvl	FBtr0346998	4380	Drosophila melanogaster
FBgn0086680	CG10037	vvl	FBtr0346999	4380	Drosophila melanogaster
FBgn0038013	CG10038	CG10038	FBtr0082614	1134	Drosophila melanogaster
FBgn0038013	CG10038	CG10038	FBtr0082615	1212	Drosophila melanogaster
FBgn0004635	CG1004	rho	FBtr0072694	2531	Drosophila melanogaster
FBgn0004635	CG1004	rho	FBtr0333207	3000	Drosophila melanogaster
FBgn0038014	CG10041	CG10041	FBtr0082613	952	Drosophila melanogaster
FBgn0038016	CG10042	MBD-R2	FBtr0082611	3864	Drosophila melanogaster
FBgn0015803	CG10043	RtGEF	FBtr0081356	3336	Drosophila melanogaster
FBgn0015803	CG10043	RtGEF	FBtr0081357	2976	Drosophila melanogaster
FBgn0015803	CG10043	RtGEF	FBtr0112885	4194	Drosophila melanogaster
FBgn0015803	CG10043	RtGEF	FBtr0302106	2995	Drosophila melanogaster
FBgn0015803	CG10043	RtGEF	FBtr0336747	5284	Drosophila melanogaster
FBgn0015803	CG10043	RtGEF	FBtr0336748	3938	Drosophila melanogaster
FBgn0015803	CG10043	RtGEF	FBtr0336749	4343	Drosophila melanogaster
FBgn0001149	CG10045	GstD1	FBtr0082607	825	Drosophila melanogaster
FBgn0001149	CG10045	GstD1	FBtr0100410	843	Drosophila melanogaster
FBgn0028400	CG10047	Syt4	FBtr0081578	3103	Drosophila melanogaster
FBgn0037492	CG10050	CG10050	FBtr0081577	1894	Drosophila melanogaster
FBgn0034437	CG10051	CG10051	FBtr0086521	2768	Drosophila melanogaster
FBgn0020617	CG10052	Rx	FBtr0342783	3267	Drosophila melanogaster
FBgn0037490	CG10053	CG10053	FBtr0081576	856	Drosophila melanogaster
FBgn0037490	CG10053	CG10053	FBtr0339734	982	Drosophila melanogaster
