"","x"
"FBgn0039596",2597
"FBgn0039595",2114.66666666667
"FBgn0000659",3931.8
"FBgn0037972",967.5
"FBgn0036461",2308
"FBgn0260744",2631.5
"FBgn0026400",1138
"FBgn0039590",8682
"FBgn0038012",1690
"FBgn0038000",1448
"FBgn0024244",2233.66666666667
"FBgn0037338",2589
"FBgn0031568",5581
"FBgn0004893",3484
"FBgn0020440",4652.33333333333
"FBgn0032785",1367
"FBgn0037498",1380
"FBgn0031563",577
"FBgn0000721",4019.7
"FBgn0000964",3492
"FBgn0038028",1363
"FBgn0015524",2654
"FBgn0086680",4460.8
"FBgn0038013",1173
"FBgn0004635",2765.5
"FBgn0038014",952
"FBgn0038016",3864
"FBgn0015803",3866.57142857143
"FBgn0001149",834
"FBgn0028400",3103
"FBgn0037492",1894
"FBgn0034437",2768
"FBgn0020617",3267
"FBgn0037490",919
"FBgn0037482",2422
"FBgn0037481",943
"FBgn0001104",2067
"FBgn0011020",2802
"FBgn0034439",3093.66666666667
"FBgn0035727",827
"FBgn0035724",2379
"FBgn0000044",1724
"FBgn0037473",1657
"FBgn0034611",2367.25
"FBgn0000575",2049
"FBgn0016726",340.666666666667
"FBgn0261445",2275
"FBgn0034440",2749
"FBgn0035722",924
"FBgn0003475",3810.5
"FBgn0035720",3532.33333333333
"FBgn0041194",1834.5
"FBgn0003731",5911
"FBgn0034641",5273
"FBgn0034441",2735
"FBgn0034644",3398
"FBgn0036372",2500
"FBgn0002044",4061
"FBgn0037517",1864
"FBgn0036369",1962.33333333333
"FBgn0261243",3689.25
"FBgn0038018",955.5
"FBgn0038020",780.5
"FBgn0037526",2341
"FBgn0038007",1777
"FBgn0038006",1577
"FBgn0037993",3482
"FBgn0038032",3537
"FBgn0038033",3901
"FBgn0037472",1532
"FBgn0037501",1935
"FBgn0035715",1481.16666666667
"FBgn0033933",1514
"FBgn0033935",2027
"FBgn0029506",1387.5
"FBgn0035713",4458
"FBgn0013725",1839
"FBgn0024698",4674.5
"FBgn0033942",651
"FBgn0037502",1878
"FBgn0036367",918
"FBgn0265974",4414.66666666667
"FBgn0005626",3280.33333333333
"FBgn0010397",2408.5
"FBgn0002719",2679
"FBgn0035710",3282.5
"FBgn0019938",5078
"FBgn0040268",3925
"FBgn0035709",1031
"FBgn0024177",1497
