"","DB_identifier","Sec_identifier","GeneSymbol","Transcript_DB_identifier","Transcript_length","Organism name","log_FC","num_assign","log10_FC"
"1","FBgn0039596","CG10000","CG10000","FBtr0085315",2597,"Drosophila melanogaster",0,1,0
"2","FBgn0039595","CG10001","AstA-R2","FBtr0085316",2273,"Drosophila melanogaster",0.104167413835027,2,0.0313575161350861
"3","FBgn0039595","CG10001","AstA-R2","FBtr0308641",2077,"Drosophila melanogaster",-0.0259290541381745,2,-0.00780542305478571
"4","FBgn0039595","CG10001","AstA-R2","FBtr0336790",1994,"Drosophila melanogaster",-0.0847648605846256,2,-0.0255167656142481
"5","FBgn0000659","CG10002","fkh","FBtr0085321",3280,"Drosophila melanogaster",-0.261494122718489,3,-0.078717574628103
"6","FBgn0000659","CG10002","fkh","FBtr0300259",4030,"Drosophila melanogaster",0.0355899011913952,3,0.0107136278013273
"7","FBgn0000659","CG10002","fkh","FBtr0330333",4030,"Drosophila melanogaster",0.0355899011913952,3,0.0107136278013273
"8","FBgn0000659","CG10002","fkh","FBtr0345227",4289,"Drosophila melanogaster",0.125451378411622,3,0.0377646278992909
"9","FBgn0000659","CG10002","fkh","FBtr0346765",4030,"Drosophila melanogaster",0.0355899011913952,3,0.0107136278013273
"10","FBgn0037972","CG10005","CG10005","FBtr0082507",1055,"Drosophila melanogaster",0.124909432562776,4,0.0376014859427625
"11","FBgn0037972","CG10005","CG10005","FBtr0335438",880,"Drosophila melanogaster",-0.136758137507112,4,-0.0411683015407802
"12","FBgn0036461","CG10006","Zip71B","FBtr0113171",2225,"Drosophila melanogaster",-0.0528378879043601,5,-0.0159057891667436
"13","FBgn0036461","CG10006","Zip71B","FBtr0347146",2391,"Drosophila melanogaster",0.0509709060661461,5,0.015343771632081
"14","FBgn0260744","CG10007","Tango9","FBtr0082508",1590,"Drosophila melanogaster",-0.726858629321056,6,-0.218806250032845
"15","FBgn0260744","CG10007","Tango9","FBtr0347147",3673,"Drosophila melanogaster",0.481073501238884,6,0.144817553991997
"16","FBgn0026400","CG10009","Noa36","FBtr0085320",1138,"Drosophila melanogaster",0,7,0
"17","FBgn0039590","CG10011","CG10011","FBtr0085319",8682,"Drosophila melanogaster",0,8,0
"18","FBgn0038012","CG10013","CG10013","FBtr0082567",1690,"Drosophila melanogaster",0,9,0
"19","FBgn0038000","CG10014","CG10014","FBtr0082559",1448,"Drosophila melanogaster",0,10,0
"20","FBgn0024244","CG10016","drm","FBtr0077530",2572,"Drosophila melanogaster",0.20347673626619,11,0.0612526010359322
"21","FBgn0024244","CG10016","drm","FBtr0077531",2330,"Drosophila melanogaster",0.0609160484798856,11,0.0183375578097666
"22","FBgn0024244","CG10016","drm","FBtr0344768",1799,"Drosophila melanogaster",-0.312218719810275,11,-0.0939871998707007
"23","FBgn0037338","CG10018","Snm1","FBtr0078688",2589,"Drosophila melanogaster",0,12,0
"24","FBgn0031568","CG10019","CG10019","FBtr0273188",6040,"Drosophila melanogaster",0.114024903162097,13,0.0343249161044712
"25","FBgn0031568","CG10019","CG10019","FBtr0321291",5122,"Drosophila melanogaster",-0.123816393452877,13,-0.0372724483842495
"26","FBgn0004893","CG10021","bowl","FBtr0077490",3513,"Drosophila melanogaster",0.0119589526235071,14,0.0036000034564001
